journey_id,trip_id,journey_start_datetime,journey_start_date,journey_start_time,journey_start_lon,journey_start_lat,journey_start_insee,journey_start_department,journey_start_town,journey_start_towngroup,journey_start_country,journey_end_datetime,journey_end_date,journey_end_time,journey_end_lon,journey_end_lat,journey_end_insee,journey_end_department,journey_end_town,journey_end_towngroup,journey_end_country,passenger_seats,operator_class,journey_distance,journey_duration,has_incentive
17574118,67933b6b-377a-4c43-8b29-766da09767b2,2023-08-20T14:00:00+02:00,2023-08-20,14:00:00,1.074,49.425,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:30:00+02:00,2023-08-20,14:30:00,1.125,49.304,27188,27,Criquebeuf-sur-Seine,CA Seine-Eure,France,1,C,22165,26,NON
17574119,67933b6b-377a-4c43-8b29-766da09767b2,2023-08-20T14:00:00+02:00,2023-08-20,14:00:00,1.074,49.425,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:30:00+02:00,2023-08-20,14:30:00,1.125,49.304,27188,27,Criquebeuf-sur-Seine,CA Seine-Eure,France,1,C,22165,25,NON
17574158,681c626a-75dc-4833-a35a-525017aee962,2023-08-20T14:00:00+02:00,2023-08-20,14:00:00,1.111,49.441,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,1.29,49.548,76396,76,Longuerue,CC Inter-Caux-Vexin,France,1,C,26759,20,NON
17574187,ef677916-137b-41aa-84d0-f5243e72032c,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,1.094,49.445,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:40:00+02:00,2023-08-20,14:40:00,1.102,49.319,76682,76,Sotteville-sous-le-Val,M̩tropole Rouen Normandie,France,1,C,21130,29,NON
17574276,18af0ad5-0dcd-4b24-b7c8-d7c3b11110d9,2023-08-20T14:10:00+02:00,2023-08-20,14:10:00,1.053,49.277,76640,76,Saint-Pierre-l̬s-Elbeuf,M̩tropole Rouen Normandie,France,2023-08-20T14:30:00+02:00,2023-08-20,14:30:00,1.087,49.443,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,28899,27,NON
17574237,72a10d6a-4dfb-410f-9713-a1187cfa5c62,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,1.069,49.45,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:40:00+02:00,2023-08-20,14:40:00,0.99,49.532,76503,76,Pissy-P̫ville,CC Inter-Caux-Vexin,France,1,C,13381,19,NON
17574322,9a3f3744-e9be-4456-a794-252879f3cb4b,2023-08-20T14:20:00+02:00,2023-08-20,14:20:00,1.093,49.44,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T14:50:00+02:00,2023-08-20,14:50:00,1.305,49.383,27104,27,Bourg-Beaudouin,CC Lyons Andelle,France,1,C,20000,29,NON
17574316,c8a8d5bf-5e6e-4d84-89f3-dcfec18ae20a,2023-08-20T14:30:00+02:00,2023-08-20,14:30:00,1.15,49.298,27469,27,Pont-de-l'Arche,CA Seine-Eure,France,2023-08-20T14:40:00+02:00,2023-08-20,14:40:00,1.066,49.437,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,23999,18,NON
17574471,2f5c945a-f478-4cbf-8c81-ccbc32a00048,2023-08-20T14:30:00+02:00,2023-08-20,14:30:00,1.079,49.601,76105,76,Le Bocasse,CC Inter-Caux-Vexin,France,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,1.117,49.447,76540,76,Rouen,M̩tropole Rouen Normandie,France,1,C,29583,31,NON
17574881,7ae2fcc4-a596-4a59-aced-e7b5b92ace73,2023-08-20T14:40:00+02:00,2023-08-20,14:40:00,1.062,49.445,76540,76,Rouen,M̩tropole Rouen Normandie,France,2023-08-20T15:00:00+02:00,2023-08-20,15:00:00,0.956,49.556,76057,76,Barentin,CC Caux - Austreberthe,France,1,C,16552,19,NON
